Year,Author,Title,Publisher(s)
1973,Barry N. Malzberg*,Beyond Apollo,Random House
,James E. Gunn,The Listeners,Charles Scribner's Sons
,Christopher Priest,Darkening Island,Harper & Row
1974,Robert Merle*,Malevil,Simon & Schuster
,Arthur C. Clarke*,Rendezvous with Rama,Harcourt Brace Jovanovich
,Ian Watson,The Embedding,Hodder & Stoughton
,Peter Dickinson,The Green Gene,Anchor Books
1975,Philip K. Dick*,"Flow My Tears, the Policeman Said",Doubleday
,Ursula K. Le Guin,The Dispossessed,Harper & Row
1976,(no award)+,,
,Robert Silverberg,The Stochastic Man,Harper & Row
,Bob Shaw,Orbitsville,Victor Gollancz Ltd
1977,Kingsley Amis*,The Alteration,Viking Press
,Frederik Pohl,Man Plus,Random House
,Kate Wilhelm,Where Late the Sweet Birds Sang,Harper & Row
1978,Frederik Pohl*,Gateway,St. Martin's Press
,Arkady and Boris Strugatsky,Roadside Picnic and Tale of the Troika,Macmillan Publishers
,Philip K. Dick,A Scanner Darkly,Doubleday
1979,Michael Moorcock*,Gloriana,Avon Publications
,Paddy Chayefsky,Altered States,Harper & Row
,Donald R. Bensen,And Having Writ...,Bobbs-Merrill Company
1980,Thomas M. Disch*,On Wings of Song,St. Martin's Press
,John Crowley,Engine Summer,Doubleday
,J. G. Ballard,The Unlimited Dream Company,"Holt, Rinehart & Winston"
1981,Gregory Benford*,Timescape,Simon & Schuster
,Damien Broderick,The Dreaming Dragons,Pocket Books
,Gene Wolfe,The Shadow of the Torturer,Simon & Schuster
1982,Russell Hoban*,Riddley Walker,Jonathan Cape
1983,Brian W. Aldiss*,Helliconia Spring,Atheneum Books
,Michael Bishop,No Enemy But Time,Timescape
1984,Gene Wolfe*,The Citadel of the Autarch,Timescape
,John Batchelor,The Birth of the People's Republic of Antarctica,Dial Press
,John Thomas Sladek,Tik-Tok,Victor Gollancz Ltd
1985,Frederik Pohl*,The Years of the City,Timescape
,Lucius Shepard,Green Eyes,Ace Books
,William Gibson,Neuromancer,Ace Books
1986,David Brin*,The Postman,Bantam Spectra
,Kurt Vonnegut,Galápagos,Delacorte Press
,Greg Bear,Blood Music,Arbor House
,Keith Roberts,Kiteworld,Victor Gollancz Ltd
1987,Joan Slonczewski*,A Door into Ocean,Arbor House
,James K. Morrow,This Is the Way the World Ends,Henry Holt and Company
,Orson Scott Card,Speaker for the Dead,Tor Books
1988,Connie Willis*,Lincoln's Dreams,Bantam Spectra
,George Turner,The Sea and Summer,Faber and Faber
,Geoff Ryman,The Unconquered Country,Bantam Spectra
1989,Bruce Sterling*,Islands in the Net,Arbor House
,Kim Stanley Robinson,The Gold Coast,Tor Books
,Anne McCaffrey,Dragonsdawn,Del Rey Books
1990,Geoff Ryman*,The Child Garden,Unwin Hyman
,K. W. Jeter,Farewell Horizontal,St. Martin's Press
,John Kessel,Good News from Outer Space,Tor Books
1991,Kim Stanley Robinson*,Pacific Edge,Tor Books
,Greg Bear,Queen of Angels,Questar Science Fiction
,James K. Morrow,Only Begotten Daughter,William Morrow and Company
1992,Bradley Denton*,Buddy Holly Is Alive and Well on Ganymede,William Morrow and Company
,William Gibson,The Difference Engine,Bantam Spectra
,Bruce Sterling,,
,Charles Platt,The Silicon Man,William Morrow and Company
,Michael Swanwick,Stations of the Tide,William Morrow and Company
1993,Charles Sheffield*,Brother to Dragons,Baen Books
,Sheri S. Tepper,Sideshow,Bantam Spectra
,Vernor Vinge,A Fire Upon the Deep,Tor Books
1994,(no award)+,,
,Nancy Kress,Beggars in Spain,Morrow AvoNova
,Greg Bear,Moving Mars,Tor Books
1995,Greg Egan*,Permutation City,Millennium
,Michael Bishop,Brittle Innings,Bantam Books
1996,Stephen Baxter*,The Time Ships,HarperCollins
,Neal Stephenson,The Diamond Age,Bantam Spectra
,Ian McDonald,Chaga,Victor Gollancz Ltd
1997,Paul J. McAuley*,Fairyland,Victor Gollancz Ltd
,Kim Stanley Robinson,Blue Mars,HarperCollins Voyager
,Mary Doria Russell,The Sparrow,Villard
1998,Joe Haldeman*,Forever Peace,Ace Books
,Greg Bear,Slant,Tor Books
,Paul Preuss,Secret Passages,Tor Books
1999,George Zebrowski*,Brute Orbits,HarperPrism
,Poul Anderson,Starfarers,Tor Books
,Bruce Sterling,Distraction,Bantam Spectra
2000,Vernor Vinge*,A Deepness in the Sky,Tor Books
,Greg Bear,Darwin's Radio,Del Rey Books
,Norman Spinrad,Greenhouse Summer,Tor Books
,Jack Williamson,The Silicon Dagger,Tor Books
,Peter Watts,Starfish,Tor Books
2001,Poul Anderson*,Genesis,Tor Books
,Mary Gentle,Ash: A Secret History,Victor Gollancz Ltd
,Robert J. Sawyer,Calculating God,Tor Books
,Jack McDevitt,Infinity Beach,HarperPrism
,Sheri S. Tepper,The Fresco,Eos
2002,Robert Charles Wilson*,The Chronoliths,Tor Books
,Jack Williamson*,Terraforming Earth,Tor Books
,Nancy Kress,Probability Sun,Tor Books
,Ken MacLeod,Dark Light,Orbit Books
,Jack McDevitt,Deepsix,Eos
,Peter F. Hamilton,Fallen Dragon,Macmillan Publishers
,C. J. Cherryh,Hammerfall,Eos
,Paul Johnston,The House of Dust,Hodder & Stoughton
,Scott Mackay,The Meek,Roc Books
,Maureen F. McHugh,Nekropolis,Eos
,Jon Courtenay Grimwood,Pashazade: The First Arabesk,Earthlight
,Connie Willis,Passage,Bantam Books
2003,Nancy Kress*,Probability Space,Tor Books
,David Brin,Kiln People,Tor Books
,Robert J. Sawyer,Hominids,Tor Books
,Michael Swanwick,Bones of the Earth,Eos
,Brian Stableford,Dark Ararat,Tor Books
,John C. Wright,The Golden Age,Tor Books
,Steven Barnes,Lion's Blood,Warner Aspect
,Christopher Priest,The Separation,Charles Scribner's Sons
,Sheri S. Tepper,The Visitor,Eos
,Greg Bear,Vitals,Del Rey Books
2004,Jack McDevitt*,Omega,Ace Books
,Justina Robson,Natural History,Macmillan Publishers
,Philip Baruth,The X President,Bantam Books
,Kay Kenyon,The Braided World,Bantam Books
,Syne Mitchell,The Changeling Plague,Roc Books
,Sheri S. Tepper,The Companions,Eos
,Greg Bear,Darwin's Children,Del Rey Books
,Max Barry,Jennifer Government,Doubleday
,Linda Nagata,Memory,Tor Books
,John Varley,Red Thunder,Ace Books
,Robert Reed,Sister Alice,Orbit Books
,Mike Brotherton,Star Dragon,Tor Books
,Amy Thomson,Storyteller,Ace Books
,James Lovegrove,Untied Kingdom,Victor Gollancz Ltd
,Michael F. Flynn,The Wreck of The River of Stars,Tor Books
2005,Richard Morgan*,Market Forces,Victor Gollancz Ltd
,Geoff Ryman,Air,St. Martin's Griffin
,Audrey Niffenegger,The Time Traveler's Wife,MacAdam/Cage
,Frederik Pohl,The Boy Who Would Live Forever,Tor Books
,Louise Marley,The Child Goddess,Ace Books
,Karen Traviss,City of Pearl,Eos
,John Barnes,Gaudeamus,Tor Books
,Ken MacLeod,Newton's Wake,Tor Books
,Philip Roth,The Plot Against America,Houghton Mifflin Harcourt
,Jack Dann,The Rebel,William Morrow and Company
,Robert Reed,The Well of Stars,Orbit Books
,Paul J. McAuley,White Devils,Simon & Schuster
2006,Robert J. Sawyer*,Mindscan,Tor Books
,Robert Charles Wilson,Spin,Tor Books
,Ian R. MacLeod,The Summer Isles,Aio Publishing
,Charles Stross,Accelerando,Ace Books
,David Gerrold,Child of Earth,BenBella Books
,David Marusek,Counting Heads,Tor Books
,Ken MacLeod,Learning the World,Tor Books
,Steve Cash,The Meq,Tor Books
,Paul J. McAuley,Mind's Eye,Simon & Schuster
,Jack McDevitt,Seeker,Ace Books
,Stephen Baxter,Transcendent,Victor Gollancz Ltd
,Karen Traviss,The World Before,Eos
2007,Ben Bova*,Titan,Tor Books
,James K. Morrow,The Last Witchfinder,William Morrow and Company
,Peter Watts,Blindsight,Tor Books
,Jo Walton,Farthing,Tor Books
,Barbara Sapergia,Dry,Coteau Books
,Charles Stross,Glasshouse,Ace Books
,David Louis Edelman,Infoquake,Pyr
,Justina Robson,Living Next Door to the God of Love,Tor Books
,M. John Harrison,Nova Swing,Victor Gollancz Ltd
,Jack McDevitt,Odyssey,Ace Books
,Vernor Vinge,Rainbows End,Tor Books
,Nick DiChario,A Small and Remarkable Life,Robert J. Sawyer Books
,Karl Schroeder,Sun of Suns,Tor Books
2008,Kathleen Ann Goonan*,In War Times,Tor Books
,Michael Chabon,The Yiddish Policemen's Union,HarperCollins
,Ken MacLeod,The Execution Channel,Tor Books
,Robert Charles Wilson,Axis,Tor Books
,Matt Ruff,Bad Monkeys,HarperCollins
,Ian McDonald,Brasyl,Pyr
,Jeffrey Thomas,Deadstock,Solaris Books
,Brian W. Aldiss,HARM,Del Rey Books
,Jay Lake,Mainspring,Tor Books
,Sheri S. Tepper,The Margarets,Eos
,Nalo Hopkinson,The New Moon's Arms,Warner
,Robert J. Sawyer,Rollback,Tor Books
,Rebecca Ore,Time's Child,Eos
,José Carlos Somoza,Zig Zag,Rayo
2009,Cory Doctorow*,Little Brother,Tor Books
,Ian R. MacLeod*,Song of Time,PS Publishing
,James K. Morrow,The Philosopher's Apprentice,William Morrow and Company
,Neal Stephenson,Anathem,William Morrow and Company
,Greg Bear,City at the End of Time,Del Rey Books
,Nick DiChario,Valley of Day-Glo,Robert J. Sawyer Books
2010,Paolo Bacigalupi*,The Windup Girl,Night Shade Books
,Robert Charles Wilson,Julian Comstock: A Story of 22nd-Century America,Tor Books
,China Miéville,The City & the City,Del Rey Books
,Bruce Sterling,The Caryatids,Del Rey Books
,Kim Stanley Robinson,Galileo's Dream,Ballantine Spectra
,Paul J. McAuley,Gardens of the Sun,Pyr
,Cory Doctorow,Makers,Tor Books
,Nancy Kress,Steal Across the Sky,Tor Books
,Iain M. Banks,Transition,Orbit Books
,Robert J. Sawyer,WWW: Wake,Ace Books
,Margaret Atwood,The Year of the Flood,Nan A. Talese
,Adam Roberts,Yellow Blue Tibia,Victor Gollancz Ltd
2011,Ian McDonald*,The Dervish House,Victor Gollancz Ltd
,Charles Yu,How to Live Safely in a Science Fictional Universe,Pantheon Books
,Hannu Rajaniemi,The Quantum Thief,Victor Gollancz Ltd
,E. O. Wilson,Anthill,W. W. Norton & Company
,Jean-Christophe Valtat,Aurorarama,Melville House Publishing
,Connie Willis,Blackout/All Clear,Bantam Spectra
,Tom McCarthy,C,Alfred A. Knopf
,Greg Bear,Hull Zero Three,Orbit Books
,Adam Roberts,New Model Army,Victor Gollancz Ltd
,Gavin Smith,Veteran,Victor Gollancz Ltd
,Sheri S. Tepper,The Waters Rising,Eos
,Jon Armstrong,Yarn,Night Shade Books
,William Gibson,Zero History,Putnam Publishing Group
2012,Christopher Priest*,The Islanders,Victor Gollancz Ltd
,Joan Slonczewski*,The Highest Frontier,Tor Books
,China Miéville,Embassytown,Del Rey Books
,Lavie Tidhar,Osama,PS Publishing
,Ernest Cline,Ready Player One,Crown Publishing Group
,Kathleen Ann Goonan,This Shared Dream,Tor Books
,Will McIntosh,Soft Apocalypse,Night Shade Books
,Michael Swanwick,Dancing with Bears,Night Shade Books
,Daniel H. Wilson,Robopocalypse,Simon & Schuster
,Gene Wolfe,Home Fires,Tor Books
,Rob Ziegler,Seed,Night Shade Books
2013,Adam Roberts*,Jack Glass: The Story of a Murderer,Victor Gollancz Ltd
,Iain M. Banks,The Hydrogen Sonata,Orbit Books
,Terry Bisson,Any Day Now,The Overlook Press
,David Brin,Existence,Tor Books
,Cory Doctorow and Charles Stross,The Rapture of the Nerds,Tor Books
,M. John Harrison,Empty Space,"Victor Gollancz Ltd, Night Shade Books"
,Ken MacLeod,Intrusion,Orbit Books
,China Miéville,Railsea,Del Rey Books
,Hannu Rajaniemi,The Fractal Prince,"Victor Gollancz Ltd, Tor Books"
,Alastair Reynolds,Blue Remembered Earth,Ace Books
,Kim Stanley Robinson,2312,Orbit Books
,John Varley,Slow Apocalypse,Ace Books
,G. Willow Wilson,Alif the Unseen,Grove Press
2014,Marcel Theroux*,Strange Bodies,Faber and Faber
,Max Barry,Lexicon,Penguin Group
,Stephen Baxter,Proxima,Victor Gollancz Ltd
,Dave Eggers,The Circle,Alfred A. Knopf
,Karen Joy Fowler,We Are All Completely Beside Ourselves,Marian Wood
,Nicola Griffith,Hild,"Farrar, Straus and Giroux"
,Wolfgang Jeschke,The Cusanus Game,Tor Books
,Ann Leckie,Ancillary Justice,Orbit Books
,Phillip Mann,The Disestablishment of Paradise,Victor Gollancz Ltd
,Paul J. McAuley,Evening's Empires,Victor Gollancz Ltd
,Linda Nagata,The Red: First Light,Mythic Island Press
,Christopher Priest,The Adjacent,Victor Gollancz Ltd
,Alastair Reynolds,On the Steel Breeze,Victor Gollancz Ltd
,Kim Stanley Robinson,Shaman,Orbit Books
,Charles Stross,Neptune's Brood,Ace Books
2015,Claire North*,The First Fifteen Lives of Harry August,Redhook Books
,Nina Allan,The Race,Newcon Press
,James L. Cambias,A Darkling Sea,Tor Books
,William Gibson,The Peripheral,G. P. Putnam's Sons
,Daryl Gregory,Afterparty,Tor Books
,Dave Hutchinson,Europe In Autumn,Solaris Books
,Simon Ings,Wolves,Victor Gollancz Ltd
,Cixin Liu,The Three-Body Problem,Tor Books
,Emily St. John Mandel,Station Eleven,Alfred A. Knopf
,Will McIntosh,Defenders,Orbit Books
,Laline Paull,The Bees,Ecco Press
,Adam Roberts,Bête,Victor Gollancz Ltd
,John Scalzi,Lock In,Tor Books
,Andy Weir,The Martian,Broadway Books
,Jeff VanderMeer,Annihilation,FSG Originals
,Peter Watts,Echopraxia,Tor Books
2016,Eleanor Lerman*,Radiomen,Permanent Press
,Kim Stanley Robinson,Aurora,Orbit Books
,Nnedi Okorafor,The Book of Phoenix,DAW Books
,Dave Hutchinson,Europe at Midnight,Solaris Books
,James K. Morrow,Galapágos Regained,St. Martin's Press
,Linda Nagata,Going Dark,"Mythic Island Press, Saga Press"
,Ian McDonald,Luna: New Moon,"Victor Gollancz Ltd, Tor Books"
,Neal Stephenson,Seveneves,"William Morrow and Company, HarperCollins"
,Adam Roberts,The Thing Itself,Victor Gollancz Ltd
,Paolo Bacigalupi,The Water Knife,"Orbit Books, Alfred A. Knopf"
,Kit Reed,Where,Tor Books
2017,Lavie Tidhar*,Central Station,Tachyon Publications
,Rick Wilber,Alien Morning,Tor Books
