Year,Author,Title,Publisher(s)
1966,Frank Herbert*,Dune,Chilton Company
,Roger Zelazny*,...And Call Me Conrad (also known as This Immortal),The Magazine of Fantasy & Science Fiction
,John Brunner,The Squares of the City,Ballantine Books
,Robert A. Heinlein,The Moon Is a Harsh Mistress[Note 2],If
,Edward E. Smith,Skylark DuQuesne,If
1967,Robert A. Heinlein*,The Moon Is a Harsh Mistress[Note 2],If
,Samuel R. Delany,Babel-17,Ace Books
,Randall Garrett,Too Many Magicians,Analog Science Fact & Fiction
,Daniel Keyes,Flowers for Algernon,Harcourt Trade Publishers
,James H. Schmitz,The Witches of Karres,Chilton Company
,Thomas Burnett Swann,Day of the Minotaur,Ace Books
1968,Roger Zelazny*,Lord of Light,Doubleday
,Samuel R. Delany,The Einstein Intersection,Ace Books
,Piers Anthony,Chthon,Ballantine Books
,Chester Anderson,The Butterfly Kid,Pyramid Books
,Robert Silverberg,Thorns,Ballantine Books
1969,John Brunner*,Stand on Zanzibar,Doubleday
,Alexei Panshin,Rite of Passage,Ace Books
,Samuel R. Delany,Nova,Doubleday
,R. A. Lafferty,Past Master,Ace Books
,Clifford D. Simak,The Goblin Reservation,Galaxy Science Fiction
1970,Ursula K. Le Guin*,The Left Hand of Darkness,Ace Books
,Robert Silverberg,Up the Line,Ballantine Books
,Piers Anthony,Macroscope,Avon Publications
,Kurt Vonnegut,Slaughterhouse-Five,Delacorte Press
,Norman Spinrad,Bug Jack Barron,Avon Publications
1971,Larry Niven*,Ringworld,Ballantine Books
,Poul Anderson,Tau Zero,Doubleday
,Robert Silverberg,Tower of Glass,Charles Scribner's Sons
,Wilson Tucker,The Year of the Quiet Sun,Ace Books
,Hal Clement,Star Light,Analog Science Fact & Fiction
1972,Philip José Farmer*,To Your Scattered Bodies Go,Putnam Publishing Group
,Ursula K. Le Guin,The Lathe of Heaven,Amazing Stories
,Anne McCaffrey,Dragonquest,Ballantine Books
,Roger Zelazny,Jack of Shadows,The Magazine of Fantasy & Science Fiction
,Robert Silverberg,A Time of Changes,Galaxy Science Fiction
1973,Isaac Asimov*,The Gods Themselves,Galaxy Science Fiction
,David Gerrold,When HARLIE Was One,Ballantine Books
,Poul Anderson,There Will Be Time,Signet Books
,Robert Silverberg,The Book of Skulls,Charles Scribner's Sons
,Robert Silverberg,Dying Inside,Galaxy Science Fiction
,Clifford D. Simak,A Choice of Gods,Putnam Publishing Group
1974,Arthur C. Clarke*,Rendezvous with Rama,Galaxy Science Fiction
,Robert A. Heinlein,Time Enough for Love,Putnam Publishing Group
,Larry Niven,Protector,Ballantine Books
,Poul Anderson,The People of the Wind,Analog Science Fact & Fiction
,David Gerrold,The Man Who Folded Himself,Random House
1975,Ursula K. Le Guin*,The Dispossessed,Harper & Row
,Poul Anderson,Fire Time,Doubleday
,Philip K. Dick,"Flow My Tears, the Policeman Said",Doubleday
,Larry Niven,The Mote in God's Eye,Simon & Schuster
,Jerry Pournelle,,
,Christopher Priest,Inverted World,Galaxy Science Fiction
1976,Joe Haldeman*,The Forever War,St. Martin's Press
,Roger Zelazny,Doorways in the Sand,Analog Science Fact & Fiction
,Larry Niven,Inferno,Galaxy Science Fiction
,Jerry Pournelle,,
,Alfred Bester,The Computer Connection (also known as The Indian Giver),Berkley Putnam
,Robert Silverberg,The Stochastic Man,Harper & Row
1977,Kate Wilhelm*,Where Late the Sweet Birds Sang,Harper & Row
,Joe Haldeman,Mindbridge,St. Martin's Press
,Frank Herbert,Children of Dune,Analog Science Fact & Fiction
,Frederik Pohl,Man Plus,The Magazine of Fantasy & Science Fiction
,Robert Silverberg,Shadrach in the Furnace,Analog Science Fact & Fiction
1978,Frederik Pohl*,Gateway,Galaxy Science Fiction
,Marion Zimmer Bradley,The Forbidden Tower,DAW Books
,Larry Niven,Lucifer's Hammer,Playboy Press
,Jerry Pournelle,,
,Gordon R. Dickson,Time Storm,St. Martin's Press
,George R. R. Martin,Dying of the Light,Analog Science Fact & Fiction
1979,Vonda N. McIntyre*,Dreamsnake,Houghton Mifflin
,Anne McCaffrey,The White Dragon,Del Rey Books
,C. J. Cherryh,The Faded Sun: Kesrith,Galaxy Science Fiction
,Tom Reamy,Blind Voices,Berkley Putnam
1980,Arthur C. Clarke*,The Fountains of Paradise,Victor Gollancz Ltd
,John Varley,Titan,Berkley Putnam
,Frederik Pohl,Jem,St. Martin's Press
,Patricia A. McKillip,Harpist in the Wind,Atheneum Books
,Thomas Disch,On Wings of Song,The Magazine of Fantasy & Science Fiction
1981,Joan D. Vinge*,The Snow Queen,Dial Press
,Robert Silverberg,Lord Valentine's Castle,The Magazine of Fantasy & Science Fiction
,Larry Niven,The Ringworld Engineers,Galileo Magazine of Science & Fiction
,Frederik Pohl,Beyond the Blue Event Horizon,Del Rey Books
,John Varley,Wizard,Berkley Putnam
1982,C. J. Cherryh*,Downbelow Station,DAW Books
,Gene Wolfe,The Claw of the Conciliator,Timescape Books
,Julian May,The Many-Colored Land,Houghton Mifflin
,Clifford D. Simak,Project Pope,Del Rey Books
,John Crowley,"Little, Big",Bantam Books
1983,Isaac Asimov*,Foundation's Edge,Doubleday
,C. J. Cherryh,The Pride of Chanur,DAW Books
,Arthur C. Clarke,2010: Odyssey Two,Del Rey Books
,Robert A. Heinlein,Friday,"Holt, Rinehart and Winston"
,Donald Kingsbury,Courtship Rite,Timescape
,Gene Wolfe,The Sword of the Lictor,Timescape
1984,David Brin*,Startide Rising,Bantam Books
,R. A. MacAvoy,Tea with the Black Dragon,Bantam Books
,John Varley,Millennium,Berkley Books
,Anne McCaffrey,Moreta: Dragonlady of Pern,Del Rey Books
,Isaac Asimov,The Robots of Dawn,Doubleday
1985,William Gibson*,Neuromancer,Ace Books
,David R. Palmer,Emergence,Bantam Books
,Vernor Vinge,The Peace War,Bluejay Books
,Robert A. Heinlein,Job: A Comedy of Justice,Del Rey Books
,Larry Niven,The Integral Trees,Del Rey Books
1986,Orson Scott Card*,Ender's Game,Tor Books
,C. J. Cherryh,Cuckoo's Egg,DAW Books
,David Brin,The Postman,Bantam Spectra
,Larry Niven,Footfall,Del Rey Books
,Jerry Pournelle,,
,Greg Bear,Blood Music,Arbor House
1987,Orson Scott Card*,Speaker for the Dead,Tor Books
,Bob Shaw,The Ragged Astronauts,Victor Gollancz Ltd
,William Gibson,Count Zero,Asimov's Science Fiction
,Vernor Vinge,Marooned in Realtime,Analog Science Fact & Fiction
,L. Ron Hubbard,Black Genesis,Bridge Publications
1988,David Brin*,The Uplift War,Bantam Spectra
,George Alec Effinger,When Gravity Fails,Arbor House
,Orson Scott Card,Seventh Son,Tor Books
,Greg Bear,The Forge of God,Tor Books
,Gene Wolfe,The Urth of the New Sun,Tor Books
1989,C. J. Cherryh*,Cyteen,Warner Books
,Orson Scott Card,Red Prophet,Tor Books
,Lois McMaster Bujold,Falling Free,Analog Science Fact & Fiction
,Bruce Sterling,Islands in the Net,Arbor House
,William Gibson,Mona Lisa Overdrive,Victor Gollancz Ltd
1990,Dan Simmons*,Hyperion,Doubleday
,George Alec Effinger,A Fire in the Sun,Doubleday
,Orson Scott Card,Prentice Alvin,Tor Books
,Poul Anderson,The Boat of a Million Years,Tor Books
,Sheri S. Tepper,Grass,Doubleday
1991,Lois McMaster Bujold*,The Vor Game,Baen Books
,David Brin,Earth,Bantam Spectra
,Dan Simmons,The Fall of Hyperion,Doubleday
,Michael P. Kube-McDowell,The Quiet Pools,Ace Books
,Greg Bear,Queen of Angels,Warner Questar
1992,Lois McMaster Bujold*,Barrayar,Analog Science Fact & Fiction
,Emma Bull,Bone Dance,Ace Books
,Anne McCaffrey,All the Weyrs of Pern,Del Rey Books
,Joan D. Vinge,The Summer Queen,Warner Questar
,Orson Scott Card,Xenocide,Tor Books
,Michael Swanwick,Stations of the Tide,Asimov's Science Fiction
1993,Vernor Vinge*,A Fire Upon the Deep,Tor Books
,Connie Willis*,Doomsday Book,Bantam Spectra
,Kim Stanley Robinson,Red Mars,HarperCollins
,Maureen F. McHugh,China Mountain Zhang,Tor Books
,John Varley,Steel Beach,Ace Books/Putnam Publishing Group
1994,Kim Stanley Robinson*,Green Mars,HarperCollins
,Greg Bear,Moving Mars,Tor Books
,Nancy Kress,Beggars in Spain,Morrow AvoNova
,David Brin,Glory Season,Bantam Spectra
,William Gibson,Virtual Light,Bantam Spectra
1995,Lois McMaster Bujold*,Mirror Dance,Baen Books
,John Barnes,Mother of Storms,Tor Books
,Nancy Kress,Beggars and Choosers,Tor Books
,Michael Bishop,Brittle Innings,Bantam Books
,James K. Morrow,Towing Jehovah,Harcourt Brace
1996,Neal Stephenson*,The Diamond Age,Bantam Spectra
,Stephen Baxter,The Time Ships,HarperPrism
,David Brin,Brightness Reef,Bantam Books
,Robert J. Sawyer,The Terminal Experiment (also known as Hobson's Choice),Analog Science Fiction and Fact
,Connie Willis,Remake,Bantam Spectra
1997,Kim Stanley Robinson*,Blue Mars,HarperCollins Voyager
,Lois McMaster Bujold,Memory,Baen Books
,Elizabeth Moon,Remnant Population,Baen Books
,Robert J. Sawyer,Starplex,Analog Science Fiction and Fact
,Bruce Sterling,Holy Fire,Bantam Spectra
1998,Joe Haldeman*,Forever Peace,Ace Books
,Walter Jon Williams,City on Fire,HarperPrism
,Dan Simmons,The Rise of Endymion,Bantam Spectra
,Robert J. Sawyer,Frameshift,Tor Books
,Michael Swanwick,Jack Faust,Avon Publications
1999,Connie Willis*,To Say Nothing of the Dog,Bantam Spectra
,Mary Doria Russell,Children of God,Villard Books
,Robert Charles Wilson,Darwinia,Tor Books
,Bruce Sterling,Distraction,Bantam Spectra
,Robert J. Sawyer,Factoring Humanity,Tor Books
2000,Vernor Vinge*,A Deepness in the Sky,Tor Books
,Lois McMaster Bujold,A Civil Campaign,Baen Books
,Neal Stephenson,Cryptonomicon,Avon Publications
,Greg Bear,Darwin's Radio,HarperCollins
,J. K. Rowling,Harry Potter and the Prisoner of Azkaban,Bloomsbury Publishing
2001,J. K. Rowling*,Harry Potter and the Goblet of Fire,Bloomsbury Publishing
,George R. R. Martin,A Storm of Swords,HarperCollins Voyager
,Robert J. Sawyer,Calculating God,Tor Books
,Ken MacLeod,The Sky Road,Tor Books
,Nalo Hopkinson,Midnight Robber,Warner Aspect
2002,Neil Gaiman*,American Gods,William Morrow and Company
,Lois McMaster Bujold,The Curse of Chalion,Eos
,Connie Willis,Passage,Bantam Books
,China Miéville,Perdido Street Station,Macmillan Publishers
,Robert Charles Wilson,The Chronoliths,Tor Books
,Ken MacLeod,Cosmonaut Keep,Orbit Books
2003,Robert J. Sawyer*,Hominids,Analog Science Fiction and Fact
,David Brin,Kiln People (also known as Kil'n People),Tor Books
,Michael Swanwick,Bones of the Earth,Eos
,China Miéville,The Scar,Del Rey Books
,Kim Stanley Robinson,The Years of Rice and Salt,Bantam Books
2004,Lois McMaster Bujold*,Paladin of Souls,Eos
,Dan Simmons,Ilium,Eos
,Charles Stross,Singularity Sky,Ace Books
,Robert Charles Wilson,Blind Lake,Tor Books
,Robert J. Sawyer,Humans,Tor Books
2005,Susanna Clarke*,Jonathan Strange & Mr Norrell,Bloomsbury Publishing
,Ian McDonald,River of Gods,Simon & Schuster
,Iain M. Banks,The Algebraist,Orbit Books
,Charles Stross,Iron Sunrise,Ace Books
,China Miéville,Iron Council,Del Rey Books
2006,Robert Charles Wilson*,Spin,Tor Books
,Ken MacLeod,Learning the World,Orbit Books
,George R. R. Martin,A Feast for Crows,Voyager Books
,John Scalzi,Old Man's War,Tor Books
,Charles Stross,Accelerando,Ace Books
2007,Vernor Vinge*,Rainbows End,Tor Books
,Charles Stross,Glasshouse,Ace Books
,Naomi Novik,His Majesty's Dragon,Voyager Books
