"","Year","Author","Title","Publisher.s.","Winners","Locus.data","Nebula.data","Campbell.data","Goodreads.Number.of.Ratings","Goodreads.Avg.Rating"
"1",1966,"Frank Herbert*","Dune","Chilton Company",TRUE,0,2,0,538987,4.2
"2",1966,"Roger Zelazny*","...And Call Me Conrad (also known as This Immortal)","The Magazine of Fantasy & Science Fiction",TRUE,0,0,0,8342,3.94
"3",1966,"John Brunner","The Squares of the City","Ballantine Books",FALSE,0,0,0,477,3.39
"4",1966,"Robert A. Heinlein","The Moon Is a Harsh Mistress[Note 2]","If",FALSE,0,0,0,NA,NA
"5",1966,"Edward E. Smith","Skylark DuQuesne","If",FALSE,0,0,0,NA,NA
"6",1967,"Robert A. Heinlein*","The Moon Is a Harsh Mistress[Note 2]","If",TRUE,0,0,0,NA,NA
"7",1967,"Samuel R. Delany","Babel-17","Ace Books",FALSE,0,2,0,9053,3.78
"8",1967,"Randall Garrett","Too Many Magicians","Analog Science Fact & Fiction",FALSE,0,0,0,885,4.09
"9",1967,"Daniel Keyes","Flowers for Algernon","Harcourt Trade Publishers",FALSE,0,2,0,347067,4.07
"10",1967,"James H. Schmitz","The Witches of Karres","Chilton Company",FALSE,0,0,0,2074,4.17
"11",1967,"Thomas Burnett Swann","Day of the Minotaur","Ace Books",FALSE,0,0,0,122,3.75
"12",1968,"Roger Zelazny*","Lord of Light","Doubleday",TRUE,0,1,0,22443,4.1
"13",1968,"Samuel R. Delany","The Einstein Intersection","Ace Books",FALSE,0,2,0,3577,3.58
"14",1968,"Piers Anthony","Chthon","Ballantine Books",FALSE,0,1,0,1414,3.33
"15",1968,"Chester Anderson","The Butterfly Kid","Pyramid Books",FALSE,0,0,0,98,3.84
"16",1968,"Robert Silverberg","Thorns","Ballantine Books",FALSE,0,1,0,6583,3.9
"17",1969,"John Brunner*","Stand on Zanzibar","Doubleday",TRUE,0,1,0,12047,3.97
"18",1969,"Alexei Panshin","Rite of Passage","Ace Books",FALSE,0,2,0,2821,3.87
"19",1969,"Samuel R. Delany","Nova","Doubleday",FALSE,0,0,0,5269,3.83
"20",1969,"R. A. Lafferty","Past Master","Ace Books",FALSE,0,1,0,464,3.79
"21",1969,"Clifford D. Simak","The Goblin Reservation","Galaxy Science Fiction",FALSE,0,0,0,2508,4.01
"22",1970,"Ursula K. Le Guin*","The Left Hand of Darkness","Ace Books",TRUE,0,2,0,74969,4.05
"23",1970,"Robert Silverberg","Up the Line","Ballantine Books",FALSE,0,1,0,1285,3.74
"24",1970,"Piers Anthony","Macroscope","Avon Publications",FALSE,0,0,0,2516,3.78
"25",1970,"Kurt Vonnegut","Slaughterhouse-Five","Delacorte Press",FALSE,0,1,0,911705,4.06
"26",1970,"Norman Spinrad","Bug Jack Barron","Avon Publications",FALSE,0,1,0,1558,3.79
"27",1971,"Larry Niven*","Ringworld","Ballantine Books",TRUE,0,2,0,84594,3.96
"28",1971,"Poul Anderson","Tau Zero","Doubleday",FALSE,0,0,0,8023,3.85
"29",1971,"Robert Silverberg","Tower of Glass","Charles Scribner's Sons",FALSE,0,1,0,1345,3.74
"30",1971,"Wilson Tucker","The Year of the Quiet Sun","Ace Books",FALSE,0,1,0,517,3.66
"31",1971,"Hal Clement","Star Light","Analog Science Fact & Fiction",FALSE,0,0,0,167,3.37
"32",1972,"Philip José Farmer*","To Your Scattered Bodies Go","Putnam Publishing Group",TRUE,0,0,0,NA,NA
"33",1972,"Ursula K. Le Guin","The Lathe of Heaven","Amazing Stories",FALSE,0,1,0,35220,4.09
"34",1972,"Anne McCaffrey","Dragonquest","Ballantine Books",FALSE,0,0,0,35304,4.09
"35",1972,"Roger Zelazny","Jack of Shadows","The Magazine of Fantasy & Science Fiction",FALSE,0,0,0,4980,4
"36",1972,"Robert Silverberg","A Time of Changes","Galaxy Science Fiction",FALSE,0,2,0,2420,3.7
"37",1973,"Isaac Asimov*","The Gods Themselves","Galaxy Science Fiction",TRUE,0,2,0,40861,4.08
"38",1973,"David Gerrold","When HARLIE Was One","Ballantine Books",FALSE,0,1,0,959,3.91
"39",1973,"Poul Anderson","There Will Be Time","Signet Books",FALSE,0,0,0,3354,4.34
"40",1973,"Robert Silverberg","The Book of Skulls","Charles Scribner's Sons",FALSE,0,1,0,2388,3.68
"41",1973,"Robert Silverberg","Dying Inside","Galaxy Science Fiction",FALSE,0,1,0,4569,3.86
"42",1973,"Clifford D. Simak","A Choice of Gods","Putnam Publishing Group",FALSE,0,0,0,986,3.68
"43",1974,"Arthur C. Clarke*","Rendezvous with Rama","Galaxy Science Fiction",TRUE,0,2,2,105501,4.07
"44",1974,"Robert A. Heinlein","Time Enough for Love","Putnam Publishing Group",FALSE,0,1,0,27882,3.96
"45",1974,"Larry Niven","Protector","Ballantine Books",FALSE,0,0,0,8185,4.06
"46",1974,"Poul Anderson","The People of the Wind","Analog Science Fact & Fiction",FALSE,0,1,0,648,3.72
"47",1974,"David Gerrold","The Man Who Folded Himself","Random House",FALSE,0,1,0,3647,3.81
"48",1975,"Ursula K. Le Guin*","The Dispossessed","Harper & Row",TRUE,0,2,1,55535,4.18
"49",1975,"Poul Anderson","Fire Time","Doubleday",FALSE,0,0,0,272,3.35
"50",1975,"Philip K. Dick","Flow My Tears, the Policeman Said","Doubleday",FALSE,0,1,2,26278,3.93
"51",1975,"Larry Niven","The Mote in God's Eye","Simon & Schuster",FALSE,0,1,0,52904,4.06
"52",1975,"Jerry Pournelle","","",FALSE,0,0,0,1892,4.15
"53",1975,"Christopher Priest","Inverted World","Galaxy Science Fiction",FALSE,0,0,0,5278,3.89
"54",1976,"Joe Haldeman*","The Forever War","St. Martin's Press",TRUE,0,2,0,104812,4.15
"55",1976,"Roger Zelazny","Doorways in the Sand","Analog Science Fact & Fiction",FALSE,0,1,0,3090,3.97
"56",1976,"Larry Niven","Inferno","Galaxy Science Fiction",FALSE,0,1,0,4713,3.82
"57",1976,"Jerry Pournelle","","",FALSE,0,0,0,1892,4.15
"58",1976,"Alfred Bester","The Computer Connection (also known as The Indian Giver)","Berkley Putnam",FALSE,0,1,0,907,3.5
"59",1976,"Robert Silverberg","The Stochastic Man","Harper & Row",FALSE,0,1,1,894,3.62
"60",1977,"Kate Wilhelm*","Where Late the Sweet Birds Sang","Harper & Row",TRUE,0,1,1,7231,3.87
"61",1977,"Joe Haldeman","Mindbridge","St. Martin's Press",FALSE,0,0,0,1819,3.74
"62",1977,"Frank Herbert","Children of Dune","Analog Science Fact & Fiction",FALSE,0,0,0,81573,3.9
"63",1977,"Frederik Pohl","Man Plus","The Magazine of Fantasy & Science Fiction",FALSE,0,2,1,6368,3.74
"64",1977,"Robert Silverberg","Shadrach in the Furnace","Analog Science Fact & Fiction",FALSE,0,1,0,641,3.57
"65",1978,"Frederik Pohl*","Gateway","Galaxy Science Fiction",TRUE,0,2,2,32775,4.07
"66",1978,"Marion Zimmer Bradley","The Forbidden Tower","DAW Books",FALSE,0,0,0,2685,4.06
"67",1978,"Larry Niven","Lucifer's Hammer","Playboy Press",FALSE,0,0,0,35465,3.98
"68",1978,"Jerry Pournelle","","",FALSE,0,0,0,1892,4.15
"69",1978,"Gordon R. Dickson","Time Storm","St. Martin's Press",FALSE,0,0,0,946,3.77
"70",1978,"George R. R. Martin","Dying of the Light","Analog Science Fact & Fiction",FALSE,0,0,0,3993,3.55
"71",1979,"Vonda N. McIntyre*","Dreamsnake","Houghton Mifflin",TRUE,0,2,0,7339,3.85
"72",1979,"Anne McCaffrey","The White Dragon","Del Rey Books",FALSE,0,0,0,36423,4.17
"73",1979,"C. J. Cherryh","The Faded Sun: Kesrith","Galaxy Science Fiction",FALSE,0,1,0,1831,3.98
"74",1979,"Tom Reamy","Blind Voices","Berkley Putnam",FALSE,0,1,0,196,3.99
"75",1980,"Arthur C. Clarke*","The Fountains of Paradise","Victor Gollancz Ltd",TRUE,0,2,0,21971,3.96
"76",1980,"John Varley","Titan","Berkley Putnam",FALSE,0,1,2,6798,3.94
"77",1980,"Frederik Pohl","Jem","St. Martin's Press",FALSE,0,1,0,2380,3.58
"78",1980,"Patricia A. McKillip","Harpist in the Wind","Atheneum Books",FALSE,0,0,0,6145,4.21
"79",1980,"Thomas Disch","On Wings of Song","The Magazine of Fantasy & Science Fiction",FALSE,0,1,2,753,3.74
"80",1981,"Joan D. Vinge*","The Snow Queen","Dial Press",TRUE,0,1,0,10260,3.95
"81",1981,"Robert Silverberg","Lord Valentine's Castle","The Magazine of Fantasy & Science Fiction",FALSE,0,0,0,7365,3.88
"82",1981,"Larry Niven","The Ringworld Engineers","Galileo Magazine of Science & Fiction",FALSE,0,0,0,24397,3.86
"83",1981,"Frederik Pohl","Beyond the Blue Event Horizon","Del Rey Books",FALSE,0,1,0,10407,3.94
"84",1981,"John Varley","Wizard","Berkley Putnam",FALSE,0,0,0,4719,4.04
"85",1982,"C. J. Cherryh*","Downbelow Station","DAW Books",TRUE,0,0,0,10872,3.9
"86",1982,"Gene Wolfe","The Claw of the Conciliator","Timescape Books",FALSE,0,2,0,8322,3.98
