"","Year","Author","Title","Publisher.s.","Winner","Locus.data","Nebula.data","Campbell.data","Goodreads.Avg.Rating","Goodreads.Number.of.Ratings"
"1",1966,"Frank Herbert","Dune","Chilton Company",TRUE,0,2,0,4.19,531443
"2",1966,"Roger Zelazny","...And Call Me Conrad (also known as This Immortal)","The Magazine of Fantasy & Science Fiction",TRUE,0,0,0,NA,NA
"3",1966,"John Brunner","The Squares of the City","Ballantine Books",FALSE,0,0,0,3.38,472
"4",1966,"Robert A. Heinlein","The Moon Is a Harsh Mistress[Note 2]","If",FALSE,0,0,0,NA,NA
"5",1966,"Edward E. Smith","Skylark DuQuesne","If",FALSE,0,0,0,NA,NA
"6",1967,"Robert A. Heinlein","The Moon Is a Harsh Mistress[Note 2]","If",TRUE,0,0,0,NA,NA
"7",1967,"Samuel R. Delany","Babel-17","Ace Books",FALSE,0,2,0,3.78,8844
"8",1967,"Randall Garrett","Too Many Magicians","Analog Science Fact & Fiction",FALSE,0,0,0,3.92,786
"9",1967,"Daniel Keyes","Flowers for Algernon","Harcourt Trade Publishers",FALSE,0,2,0,4.07,340564
"10",1967,"James H. Schmitz","The Witches of Karres","Chilton Company",FALSE,0,0,0,4.17,2052
"11",1967,"Thomas Burnett Swann","Day of the Minotaur","Ace Books",FALSE,0,0,0,3.75,118
"12",1968,"Roger Zelazny","Lord of Light","Doubleday",TRUE,0,1,0,4.1,22158
"13",1968,"Samuel R. Delany","The Einstein Intersection","Ace Books",FALSE,0,2,0,3.58,3515
"14",1968,"Piers Anthony","Chthon","Ballantine Books",FALSE,0,1,0,3.33,1400
"15",1968,"Chester Anderson","The Butterfly Kid","Pyramid Books",FALSE,0,0,0,3.84,97
"16",1968,"Robert Silverberg","Thorns","Ballantine Books",FALSE,0,1,0,3.9,6501
"17",1969,"John Brunner","Stand on Zanzibar","Doubleday",TRUE,0,1,0,3.96,11914
"18",1969,"Alexei Panshin","Rite of Passage","Ace Books",FALSE,0,2,0,3.87,2782
"19",1969,"Samuel R. Delany","Nova","Doubleday",FALSE,0,0,0,3.83,5182
"20",1969,"R. A. Lafferty","Past Master","Ace Books",FALSE,0,1,0,3.79,454
"21",1969,"Clifford D. Simak","The Goblin Reservation","Galaxy Science Fiction",FALSE,0,0,0,4.01,2460
"22",1970,"Ursula K. Le Guin","The Left Hand of Darkness","Ace Books",TRUE,0,2,0,4.2,10
"23",1970,"Robert Silverberg","Up the Line","Ballantine Books",FALSE,0,1,0,3.74,1266
"24",1970,"Piers Anthony","Macroscope","Avon Publications",FALSE,0,0,0,3.77,2495
"25",1970,"Kurt Vonnegut","Slaughterhouse-Five","Delacorte Press",FALSE,0,1,0,4.06,899857
"26",1970,"Norman Spinrad","Bug Jack Barron","Avon Publications",FALSE,0,1,0,3.79,1544
"27",1971,"Larry Niven","Ringworld","Ballantine Books",TRUE,0,2,0,3.96,83404
"28",1971,"Poul Anderson","Tau Zero","Doubleday",FALSE,0,0,0,3.85,7869
"29",1971,"Robert Silverberg","Tower of Glass","Charles Scribner's Sons",FALSE,0,1,0,3.73,1325
"30",1971,"Wilson Tucker","The Year of the Quiet Sun","Ace Books",FALSE,0,1,0,3.67,505
"31",1971,"Hal Clement","Star Light","Analog Science Fact & Fiction",FALSE,0,0,0,3.37,165
"32",1972,"Philip José Farmer","To Your Scattered Bodies Go","Putnam Publishing Group",TRUE,0,0,0,NA,NA
