"","X","Year","Author","Title","Publisher.s.","Winner","Locus.data","Nebula.data","Campbell.data","Goodreads.Avg.Rating","Goodreads.Number.of.Ratings","Nominations.Since.Win"
"1",1,1966,"Frank Herbert","Dune","Chilton Company",TRUE,0,2,0,4.19,531443,1
"2",2,1966,"Roger Zelazny","...And Call Me Conrad (also known as This Immortal)","The Magazine of Fantasy & Science Fiction",TRUE,0,0,0,NA,NA,1
"3",3,1966,"John Brunner","The Squares of the City","Ballantine Books",FALSE,0,0,0,3.38,472,1
"4",4,1966,"Robert A. Heinlein","The Moon Is a Harsh Mistress[Note 2]","If",FALSE,0,0,0,NA,NA,1
"5",5,1966,"Edward E. Smith","Skylark DuQuesne","If",FALSE,0,0,0,NA,NA,1
"6",6,1967,"Robert A. Heinlein","The Moon Is a Harsh Mistress[Note 2]","If",TRUE,0,0,0,NA,NA,1
"7",7,1967,"Samuel R. Delany","Babel-17","Ace Books",FALSE,0,2,0,3.78,8844,1
"8",8,1967,"Randall Garrett","Too Many Magicians","Analog Science Fact & Fiction",FALSE,0,0,0,3.92,786,1
"9",9,1967,"Daniel Keyes","Flowers for Algernon","Harcourt Trade Publishers",FALSE,0,2,0,4.07,340564,1
"10",10,1967,"James H. Schmitz","The Witches of Karres","Chilton Company",FALSE,0,0,0,4.17,2052,1
"11",11,1967,"Thomas Burnett Swann","Day of the Minotaur","Ace Books",FALSE,0,0,0,3.75,118,1
"12",12,1968,"Roger Zelazny","Lord of Light","Doubleday",TRUE,0,1,0,4.1,22158,1
"13",13,1968,"Samuel R. Delany","The Einstein Intersection","Ace Books",FALSE,0,2,0,3.58,3515,2
"14",14,1968,"Piers Anthony","Chthon","Ballantine Books",FALSE,0,1,0,3.33,1400,1
"15",15,1968,"Chester Anderson","The Butterfly Kid","Pyramid Books",FALSE,0,0,0,3.84,97,1
"16",16,1968,"Robert Silverberg","Thorns","Ballantine Books",FALSE,0,1,0,3.9,6501,1
"17",17,1969,"John Brunner","Stand on Zanzibar","Doubleday",TRUE,0,1,0,3.96,11914,1
"18",18,1969,"Alexei Panshin","Rite of Passage","Ace Books",FALSE,0,2,0,3.87,2782,1
"19",19,1969,"Samuel R. Delany","Nova","Doubleday",FALSE,0,0,0,3.83,5182,3
"20",20,1969,"R. A. Lafferty","Past Master","Ace Books",FALSE,0,1,0,3.79,454,1
"21",21,1969,"Clifford D. Simak","The Goblin Reservation","Galaxy Science Fiction",FALSE,0,0,0,4.01,2460,1
"22",22,1970,"Ursula K. Le Guin","The Left Hand of Darkness","Ace Books",TRUE,0,2,0,4.2,10,1
"23",23,1970,"Robert Silverberg","Up the Line","Ballantine Books",FALSE,0,1,0,3.74,1266,2
"24",24,1970,"Piers Anthony","Macroscope","Avon Publications",FALSE,0,0,0,3.77,2495,2
"25",25,1970,"Kurt Vonnegut","Slaughterhouse-Five","Delacorte Press",FALSE,0,1,0,4.06,899857,1
