"Title, Author (Publisher)",Year,Category,Winner
"Death's End, Cixin Liu (Tor; Head of Zeus)",2016,Science Fiction,TRUE
"The Underground Railroad, Colson Whitehead (Doubleday; Fleet)",2016,Science Fiction,
"Babylon's Ashes, James S. A. Corey (Orbit)",2016,Science Fiction,
"Central Station, Lavie Tidhar (Tachyon)",2016,Science Fiction,
"Company Town, Madeline Ashby (Tor)",2016,Science Fiction,
"Visitor, C. J. Cherryh (DAW)",2016,Science Fiction,
"The Medusa Chronicles, Stephen Baxter & Alastair Reynolds (Gollancz; Saga)",2016,Science Fiction,
"After Atlas, Emma Newman (Roc)",2016,Science Fiction,
"Last Year, Robert Charles Wilson (Tor)",2016,Science Fiction,
"Take Back the Sky, Greg Bear (Orbit)",2016,Science Fiction,
"All the Birds in the Sky, Charlie Jane Anders (Tor; Titan)",2016,Fantasy,TRUE
"The Obelisk Gate, N. K. Jemisin (Orbit)",2016,Fantasy,
"The Wall of Storms, Ken Liu (Saga; Head of Zeus)",2016,Fantasy,
"The Nightmare Stacks, Charles Stross (Ace; Orbit)",2016,Fantasy,
"Children of Earth and Sky, Guy Gavriel Kay (NAL; Viking Canada; Hodder & Stoughton)",2016,Fantasy,
"City of Blades, Robert Jackson Bennett (Broadway)",2016,Fantasy,
"The Winged Histories, Sofia Samatar (Small Beer)",2016,Fantasy,
"The Last Days of New Paris, China Miéville (Del Rey; Picador)",2016,Fantasy,
"Necessity, Jo Walton (Tor)",2016,Fantasy,
"Summerlong, Peter S. Beagle (Tachyon)",2016,Fantasy,
"Ninefox Gambit, Yoon Ha Lee (Solaris)",2016,First Novel,TRUE
"Everfair, Nisi Shawl (Tor)",2016,First Novel,
"Infomocracy, Malka Older (Tor.com)",2016,First Novel,
"Arabella of Mars, David D. Levine (Tor)",2016,First Novel,
"Roses and Rot, Kat Howard (Saga)",2016,First Novel,
"The Star-Touched Queen, Roshani Chokshi (St. Martin's)",2016,First Novel,
"The Girl from Everywhere, Heidi Heilig (Greenwillow; Hot Key)",2016,First Novel,
"Waypoint Kangaroo, Curtis Chen (Dunne)",2016,First Novel,
"Vigil, Angela Slatter (Jo Fletcher)",2016,First Novel,
"The Reader, Traci Chee (Putnam)",2016,First Novel,
"Ancillary Mercy, Ann Leckie (Orbit)",2015,Science Fiction,TRUE
"Seveneves, Neal Stephenson (Morrow)",2015,Science Fiction,
"The Water Knife, Paolo Bacigalupi (Borzoi; Orbit UK)",2015,Science Fiction,
"Aurora, Kim Stanley Robinson (Orbit)",2015,Science Fiction,
"A Borrowed Man, Gene Wolfe (Tor)",2015,Science Fiction,
"Uprooted, Naomi Novik (Del Rey)",2015,Fantasy,TRUE
"The Fifth Season, N. K. Jemisin (Orbit)",2015,Fantasy,
"Karen Memory, Elizabeth Bear (Tor)",2015,Fantasy,
"The House of Shattered Wings, Aliette de Bodard (Roc; Gollancz)",2015,Fantasy,
"Wylding Hall, Elizabeth Hand (PS Publishing; Open Road)",2015,Fantasy,
"The Grace of Kings, Ken Liu (Saga)",2015,First Novel,TRUE
"Sorcerer to the Crown, Zen Cho (Ace; Macmillan UK)",2015,First Novel,
"Signal to Noise, Silvia Moreno-Garcia (Solaris)",2015,First Novel,
"The Sorcerer of the Wildeeps, Kai Ashante Wilson (Tor.com)",2015,First Novel,
"The Watchmaker of Filigree Street, Natasha Pulley (Bloomsbury)",2015,First Novel,
"Ancillary Sword, Ann Leckie (Orbit US; Orbit UK)",2014,Science Fiction,TRUE
