Year,Author(s),Title,Publisher(s)
1966,Frank Herbert*,Dune,Chilton Company
,Clifford D. Simak,All Flesh is Grass,Doubleday
,Theodore L. Thomas,The Clone,Berkley Books
,Kate Wilhelm,,
,Philip K. Dick,"Dr. Bloodmoney, or How We Got Along After the Bomb",Ace Books
,James White,The Escape Orbit,Ace Books
,Thomas M. Disch,The Genocides,Berkley Books
,William S. Burroughs,Nova Express,Grove Press
,Keith Laumer,A Plague of Demons,Berkley Books
,Avram Davidson,Rogue Dragon,Ace Books
,G. C. Edmondson,The Ship That Sailed the Time Stream,Ace Books
,Poul Anderson,The Star Fox,Doubleday
,Philip K. Dick,The Three Stigmata of Palmer Eldritch,Doubleday
1967,Samuel R. Delany*,Babel-17,Ace Books
,Daniel Keyes*,Flowers for Algernon,Harcourt
,Robert A. Heinlein,The Moon Is a Harsh Mistress,Putnam Publishing Group
1968,Samuel R. Delany*,The Einstein Intersection,Ace Books
,Piers Anthony,Chthon,Ballantine Books
,Hayden Howard,The Eskimo Invasion,Ballantine Books
,Roger Zelazny,Lord of Light,Doubleday
,Robert Silverberg,Thorns,Ballantine Books
1969,Alexei Panshin*,Rite of Passage,Ace Books
,James Blish,Black Easter,Doubleday
,Philip K. Dick,Do Androids Dream of Electric Sheep?,Doubleday
,Robert Silverberg,The Masks of Time,Ballantine Books
,R. A. Lafferty,Past Master,Ace Books
,Joanna Russ,Picnic on Paradise,Ace Books
,John Brunner,Stand on Zanzibar,Doubleday
1970,Ursula K. Le Guin*,The Left Hand of Darkness,Ace Books
,Norman Spinrad,Bug Jack Barron,Avon
,Roger Zelazny,Isle of the Dead,Ace Books
,John Brunner,The Jagged Orbit,Ace Books
,Kurt Vonnegut,Slaughterhouse-Five,Delacorte Press
,Robert Silverberg,Up the Line,Ballantine Books
1971,Larry Niven*,Ringworld,Ballantine Books
,Joanna Russ,And Chaos Died,Ace Books
,R. A. Lafferty,Fourth Mansions,Ace Books
,David G. Compton,The Steel Crocodile,Ace Books
,Robert Silverberg,Tower of Glass,Charles Scribner's Sons
,Wilson Tucker,The Year of the Quiet Sun,Ace Books
1972,Robert Silverberg*,A Time of Changes,Galaxy Science Fiction
,Poul Anderson,The Byworlder,Fantastic
,R. A. Lafferty,The Devil is Dead,Avon Publications
,T. J. Bass,Half Past Human,Ballantine Books
